LB,Bonding_Atom,BF3_Affinity(kJ/mol),MW,AMW,Sv,Se,Sp,Ss,Mv,Me,Mp,Ms,nAT,nSK,nBT,nBO,nBM,SCBO,ARR,nCIC,nCIR,RBN,RBF,nDB,nTB,nAB,nH,nC,nN,nO,nP,nS,nF,nCL,nBR,nX,nR03,nR05,nR06,nR07,nR08,nR09,nR10,nBnz,nCp,nCs,nCt,nCq,nCrs,nCrt,nCrq,nCar,nCbH,nCb-,nCconj,nR=Cp,nR=Cs,nR=Ct,nRCOOR,nArCOOR,nRCONR2,nArCONR2,nROCON,nArCHO,nRCO,nArCO,nCONN,nC=O(O)2,nRNHR,nRNR2,nArNR2,nN-N,nRCN,nArCN,nN+,nNq,nRNO2,nArNO2,nROR,nArOR,nRSR,nSO,nSO2,nPO4,nP(=O)O2R,nP(=O)R3/nPR5,nCH2RX,nCRX3,nArX,nCXr,nCXr=,nCconjX,nPyrrolidines,nOxolanes,ntH-Thiophenes,nThiophenes,nPyridines,nHDon,nHAcc,C-001,C-002,C-003,C-004,C-005,C-006,C-008,C-011,C-013,C-015,C-016,C-017,C-019,C-024,C-025,C-026,C-027,C-028,C-029,C-033,C-034,C-037,C-038,C-039,C-040,C-041,H-046,H-047,H-048,H-049,H-050,H-051,H-052,H-053,O-058,O-059,O-060,O-061,N-067,N-068,N-071,N-072,N-074,N-075,N-076,N-077,N-079,F-083,F-084,Cl-086,Cl-089,Cl-090,Br-094,S-107,S-108,S-109,S-110,P-116,P-117,P-120,Ui,Hy,AMR,TPSA(NO),TPSA(Tot),MLOGP,ALOGP
43,N,130.93,93.14,6.65,8.79,13.75,9.29,14.67,0.63,0.98,0.66,2.1,14,7,14,7,6,10,0.857,1,1,0,0,0,0,6,7,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.807,-0.802,28.942,12.89,12.89,0.846,1.166
44,N,133.93,135.23,5.88,13.58,22.4,14.57,19.92,0.59,0.97,0.63,1.99,23,10,23,10,6,13,0.6,1,1,1,0.043,0,0,6,13,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,9,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.807,-0.864,42.567,12.89,12.89,1.85,2.08
45,N,134.17,93.14,6.65,8.79,13.75,9.29,14.67,0.63,0.98,0.66,2.1,14,7,14,7,6,10,0.857,1,1,0,0,0,0,6,7,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.807,-0.802,28.942,12.89,12.89,0.846,1.166
46,N,135.27,109.14,7.28,9.3,15.08,9.74,18.17,0.62,1.01,0.65,2.27,15,8,15,8,6,11,0.75,1,1,1,0.067,0,0,6,7,6,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.807,-0.71,30.364,22.12,22.12,0.233,0.663
47,N,136.68,122.19,6.43,11.38,18.74,12.06,18.67,0.6,0.99,0.63,2.07,19,9,19,9,6,12,0.667,1,1,1,0.053,0,0,6,10,7,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.807,-0.742,38.33,16.13,16.13,0.586,0.842
48,N,144.47,164.23,6.84,14.49,23.95,15.27,24.17,0.6,1,0.64,2.01,24,12,25,13,6,16,0.462,2,2,1,0.04,0,0,6,12,9,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,10,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.807,-0.727,47.404,25.36,25.36,0.401,0.529
49,N,151.55,122.19,6.43,11.38,18.74,12.06,18.67,0.6,0.99,0.63,2.07,19,9,19,9,6,12,0.667,1,1,1,0.053,0,0,6,10,7,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.807,-0.742,38.33,16.13,16.13,0.586,0.842
50,N,118.35,85.14,10.64,5.68,8.06,6.41,10.83,0.71,1.01,0.8,2.17,8,5,8,5,5,7.5,1,1,1,0,0,0,0,5,3,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.585,-0.539,23.211,12.89,41.13,-0.298,0.286
51,N,159.36,152.27,5.64,15.17,26.39,16.34,18.67,0.56,0.98,0.61,1.7,27,11,28,12,1,13,0,2,3,0,0,1,0,0,16,9,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,6,0,0,0,2,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.79,46.604,15.6,15.6,1.985,1.414
52,N,44,75.5,12.58,4.29,6.31,4.63,14.11,0.72,1.05,0.77,3.53,6,4,5,3,1,5,0,0,0,0,0,0,1,0,2,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-0.431,16.526,23.79,23.79,0.202,0.79
